,COUNTRY,COUNTRY CODE
0,Afghanistan,93
1,Albania,355
2,Algeria,213
3,American Samoa,1-684
4,Andorra,376
5,Angola,244
6,Anguilla,1-264
7,Antarctica,672
8,Antigua and Barbuda,1-268
9,Argentina,54
10,Armenia,374
11,Aruba,297
12,Australia,61
13,Austria,43
14,Azerbaijan,994
15,Bahamas,1-242
16,Bahrain,973
17,Bangladesh,880
18,Barbados,1-246
19,Belarus,375
20,Belgium,32
21,Belize,501
22,Benin,229
23,Bermuda,1-441
24,Bhutan,975
25,Bolivia,591
26,Bosnia and Herzegovina,387
27,Botswana,267
28,Brazil,55
29,British Indian Ocean Territory,246
30,British Virgin Islands,1-284
31,Brunei,673
32,Bulgaria,359
33,Burkina Faso,226
34,Burundi,257
35,Cambodia,855
36,Cameroon,237
37,Canada,1
38,Cape Verde,238
39,Cayman Islands,1-345
40,Central African Republic,236
41,Chad,235
42,Chile,56
43,China,86
44,Christmas Island,61
45,Cocos Islands,61
46,Colombia,57
47,Comoros,269
48,Cook Islands,682
49,Costa Rica,506
50,Croatia,385
51,Cuba,53
52,Curacao,599
53,Cyprus,357
54,Czech Republic,420
55,Democratic Republic of the Congo,243
56,Denmark,45
57,Djibouti,253
58,Dominica,1-767
59,Dominican Republic,"1-809, 1-829, 1-849"
60,East Timor,670
61,Ecuador,593
62,Egypt,20
63,El Salvador,503
64,Equatorial Guinea,240
65,Eritrea,291
66,Estonia,372
67,Ethiopia,251
68,Falkland Islands,500
69,Faroe Islands,298
70,Fiji,679
71,Finland,358
72,France,33
73,French Polynesia,689
74,Gabon,241
75,Gambia,220
76,Georgia,995
77,Germany,49
78,Ghana,233
79,Gibraltar,350
80,Greece,30
81,Greenland,299
82,Grenada,1-473
83,Guam,1-671
84,Guatemala,502
85,Guernsey,44-1481
86,Guinea,224
87,Guinea-Bissau,245
88,Guyana,592
89,Haiti,509
90,Honduras,504
91,Hong Kong,852
92,Hungary,36
93,Iceland,354
94,India,91
95,Indonesia,62
96,Iran,98
97,Iraq,964
98,Ireland,353
99,Isle of Man,44-1624
100,Israel,972
101,Italy,39
102,Ivory Coast,225
103,Jamaica,1-876
104,Japan,81
105,Jersey,44-1534
106,Jordan,962
107,Kazakhstan,7
108,Kenya,254
109,Kiribati,686
110,Kosovo,383
111,Kuwait,965
112,Kyrgyzstan,996
113,Laos,856
114,Latvia,371
115,Lebanon,961
116,Lesotho,266
117,Liberia,231
118,Libya,218
119,Liechtenstein,423
120,Lithuania,370
121,Luxembourg,352
122,Macau,853
123,Macedonia,389
124,Madagascar,261
125,Malawi,265
126,Malaysia,60
127,Maldives,960
128,Mali,223
129,Malta,356
130,Marshall Islands,692
131,Mauritania,222
132,Mauritius,230
133,Mayotte,262
134,Mexico,52
135,Micronesia,691
136,Moldova,373
137,Monaco,377
138,Mongolia,976
139,Montenegro,382
140,Montserrat,1-664
141,Morocco,212
142,Mozambique,258
143,Myanmar,95
144,Namibia,264
145,Nauru,674
146,Nepal,977
147,Netherlands,31
148,Netherlands Antilles,599
149,New Caledonia,687
150,New Zealand,64
151,Nicaragua,505
152,Niger,227
153,Nigeria,234
154,Niue,683
155,North Korea,850
156,Northern Mariana Islands,1-670
157,Norway,47
158,Oman,968
159,Pakistan,92
160,Palau,680
161,Palestine,970
162,Panama,507
163,Papua New Guinea,675
164,Paraguay,595
165,Peru,51
166,Philippines,63
167,Pitcairn,64
168,Poland,48
169,Portugal,351
170,Puerto Rico,"1-787, 1-939"
171,Qatar,974
172,Republic of the Congo,242
173,Reunion,262
174,Romania,40
175,Russia,7
176,Rwanda,250
177,Saint Barthelemy,590
178,Saint Helena,290
179,Saint Kitts and Nevis,1-869
180,Saint Lucia,1-758
181,Saint Martin,590
182,Saint Pierre and Miquelon,508
183,Saint Vincent and the Grenadines,1-784
184,Samoa,685
185,San Marino,378
186,Sao Tome and Principe,239
187,Saudi Arabia,966
188,Senegal,221
189,Serbia,381
190,Seychelles,248
191,Sierra Leone,232
192,Singapore,65
193,Sint Maarten,1-721
194,Slovakia,421
195,Slovenia,386
196,Solomon Islands,677
197,Somalia,252
198,South Africa,27
199,South Korea,82
200,South Sudan,211
201,Spain,34
202,Sri Lanka,94
203,Sudan,249
204,Suriname,597
205,Svalbard and Jan Mayen,47
206,Swaziland,268
207,Sweden,46
208,Switzerland,41
209,Syria,963
210,Taiwan,886
211,Tajikistan,992
212,Tanzania,255
213,Thailand,66
214,Togo,228
215,Tokelau,690
216,Tonga,676
217,Trinidad and Tobago,1-868
218,Tunisia,216
219,Turkey,90
220,Turkmenistan,993
221,Turks and Caicos Islands,1-649
222,Tuvalu,688
223,U.S. Virgin Islands,1-340
224,Uganda,256
225,Ukraine,380
226,United Arab Emirates,971
227,United Kingdom,44
228,United States,1
229,Uruguay,598
230,Uzbekistan,998
231,Vanuatu,678
232,Vatican,379
233,Venezuela,58
234,Vietnam,84
235,Wallis and Futuna,681
236,Western Sahara,212
237,Yemen,967
238,Zambia,260
239,Zimbabwe,263
